player_name_x.1,mp_x.1,raptor_offense_x.1,raptor_defense_x.1,raptor_total_x.1,Rk,Tm,X2021.22,X2022.23,X2023.24,X2024.25,X2025.26,X2026.27,Signed.Using,Guaranteed,X,Raptor_Dollar
Caleb Martin,1188,0.618513269,2.56615581,3.184669079,484,MIA,527614,NA,NA,NA,NA,NA,Minimum Salary,527614,NA,6.0359828946919525e-6
Garrison Mathews,1357,1.556419429,2.586080392,4.14249982,444,HOU,1093598,1815677,1968182,2230253,NA,NA,Cap Space,1093598,NA,3.787954824350447e-6
Gary Payton II,1023,1.361254156,4.275025339,5.636279496,366,GSW,1939350,NA,NA,NA,NA,NA,Minimum Salary,350000,NA,2.90627246036043e-6
Mitchell Robinson,1537,0.719772963,2.742457281,3.462230244,372,NYK,1802057,NA,NA,NA,NA,NA,MLE,1802057,NA,1.9212656669572606e-6
Otto Porter Jr.,1134,1.12380799,2.4074895,3.53129749,326,GSW,2389641,NA,NA,NA,NA,NA,Minimum Salary,2389641,NA,1.4777523025425158e-6
Immanuel Quickley,1381,1.589057432,1.301799217,2.890856649,337,NYK,2210640,2316240,4171548,NA,NA,NA,1st Round Pick,4526880,NA,1.3077012308652698e-6
Kenrich Williams,1072,-0.919325101,3.526947734,2.607622634,360,OKC,2000000,2000000,NA,NA,NA,NA,,NA,NA,1.303811317e-6
Brandon Clarke,1024,1.908655115,0.921966938,2.830622053,287,MEM,2726880,4343920,NA,NA,NA,NA,1st Round Pick,7070800,NA,1.0380442311359502e-6
Cameron Johnson,1579,2.316789069,1.97720744,4.293996509,230,PHO,4437000,5887899,NA,NA,NA,NA,1st Round Pick,10324899,NA,9.6777022965968e-7
LaMarcus Aldridge,1027,0.394956051,2.156030533,2.550986583,304,BRK,2641691,NA,NA,NA,NA,NA,Minimum Salary,2641691,NA,9.65664259370229e-7
Jalen Brunson,2054,2.510571149,-0.847125113,1.663446036,373,DAL,1802057,NA,NA,NA,NA,NA,,NA,NA,9.230818092879415e-7
Desmond Bane,1926,1.892395569,-0.305041402,1.587354167,353,MEM,2033160,2130240,3845083,NA,NA,NA,1st Round Pick,4163400,NA,7.807325380196344e-7
Cody Martin,1528,0.342213501,1.024365841,1.366579342,386,CHO,1782621,NA,NA,NA,NA,NA,MLE,1782621,NA,7.66612388163272e-7
Javonte Green,1193,0.525883551,0.694871282,1.220754834,411,CHI,1669178,1815677,NA,NA,NA,NA,Minimum Salary,3484855,NA,7.313509008625803e-7
Malik Monk,1660,1.729376806,-0.449742706,1.2796341,375,LAL,1789256,NA,NA,NA,NA,NA,Minimum Salary,1789256,NA,7.151766432528381e-7
Andre Drummond,1113,-1.256340672,2.952324089,1.695983418,318,BRK,2401537,NA,NA,NA,NA,NA,Minimum Salary,2401537,NA,7.062074904529891e-7
Max Strus,1269,2.020509179,-0.948919296,1.071589883,412,MIA,1669178,1815677,NA,NA,NA,NA,Minimum Salary,1669178,NA,6.41986584414604e-7
Gabe Vincent,1415,-0.20332561,1.265612288,1.062286677,413,MIA,1669178,1815677,NA,NA,NA,NA,Minimum Salary,1669178,NA,6.364130590026947e-7
Jarred Vanderbilt,1601,0.764417164,1.537540768,2.301957932,234,MIN,4259259,4600000,4940741,NA,NA,NA,Bird,13800000,NA,5.404597212801569e-7
Bobby Portis,1683,1.189898754,1.135516122,2.325414876,233,MIL,4347600,4564980,NA,NA,NA,NA,Non Bird,4347600,NA,5.348732348882142e-7
Darius Garland,1810,4.333067817,-0.63247416,3.700593657,170,CLE,7040880,8920795,NA,NA,NA,NA,1st Round Pick,15961675,NA,5.255868097453728e-7
