Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Impact
1,1,10/20/21,20-059,CHO,,IND,W (+1),1,28:57:00,11,23,0.478,7,9,0.778,2,2,1,2,7,9,7,2,0,2,3,31,26.5,0
2,2,10/22/21,20-061,CHO,@,CLE,W (+11),1,28:53:00,8,12,0.667,1,3,0.333,0,0,,0,3,3,6,5,0,3,3,17,17.7,3
3,3,10/24/21,20-063,CHO,@,BRK,W (+16),1,26:03:00,8,18,0.444,1,6,0.167,1,1,1,0,5,5,5,0,1,0,3,18,13.1,13
4,4,10/25/21,20-064,CHO,,BOS,L (-11),1,32:58:00,7,19,0.368,7,14,0.5,4,4,1,0,5,5,9,0,0,6,6,25,13.9,1
5,5,10/27/21,20-066,CHO,@,ORL,W (+9),1,24:17:00,3,14,0.214,1,5,0.2,0,0,,2,4,6,3,3,0,3,2,7,2.3,-7
6,6,10/29/21,20-068,CHO,@,MIA,L (-15),1,30:12:00,2,14,0.143,0,5,0,2,2,1,2,3,5,6,0,1,2,3,6,1,-11
7,7,10/31/21,20-070,CHO,,POR,W (+12),1,33:10:00,10,20,0.5,4,9,0.444,3,4,0.75,1,8,9,7,1,0,1,2,27,23.8,15
8,8,11/1/21,20-071,CHO,,CLE,L (-3),1,34:09:00,12,22,0.545,5,8,0.625,1,1,1,4,3,7,6,2,2,3,6,30,25.3,14
9,9,11/3/21,20-073,CHO,@,GSW,L (-22),1,33:33:00,5,14,0.357,0,6,0,4,4,1,1,4,5,8,4,0,4,4,14,12.1,-4
10,10,11/5/21,20-075,CHO,@,SAC,L (-30),1,30:42:00,9,14,0.643,4,8,0.5,2,2,1,1,2,3,13,0,0,2,1,24,25.8,-16
11,11,11/7/21,20-077,CHO,@,LAC,L (-14),1,31:35:00,8,19,0.421,2,5,0.4,3,3,1,3,4,7,3,3,0,2,5,21,15.3,-14
12,12,11/8/21,20-078,CHO,@,LAL,L (-3),1,41:43:00,8,19,0.421,3,8,0.375,6,6,1,3,13,16,11,1,1,3,2,25,26.5,6
13,13,11/10/21,20-080,CHO,@,MEM,W (+10),1,32:29:00,5,13,0.385,2,7,0.286,0,1,0,1,8,9,8,2,0,4,3,12,10,-7
14,14,11/12/21,20-082,CHO,,NYK,W (+8),1,37:23:00,4,13,0.308,0,5,0,4,5,0.8,1,16,17,9,5,1,4,2,12,16.8,18
